City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Punta Arenas,CL,2020-02-23 21:17:15,-53.15,-70.92,55.4,62,75,32.21,broken clouds,0.0,0.0
1,Hermanus,ZA,2020-02-23 21:19:29,-34.42,19.23,65.71,75,0,26.8,clear sky,0.0,0.0
2,Castro,BR,2020-02-23 21:19:29,-24.79,-50.01,67.93,78,90,2.66,overcast clouds,0.0,0.0
3,Albany,US,2020-02-23 21:16:59,42.6,-73.97,51.8,29,75,5.82,broken clouds,0.0,0.0
4,Okhotsk,RU,2020-02-23 21:19:29,59.38,143.3,-14.96,77,16,7.9,few clouds,0.0,0.0
5,Buraydah,SA,2020-02-23 21:19:29,26.33,43.98,68.0,49,30,9.17,scattered clouds,0.0,0.0
6,Mataura,NZ,2020-02-23 21:18:08,-46.19,168.86,60.01,80,77,8.01,broken clouds,0.0,0.0
7,Airai,TL,2020-02-23 21:17:33,-8.93,125.41,66.69,82,0,4.43,clear sky,0.0,0.0
8,Kapaa,US,2020-02-23 21:19:30,22.08,-159.32,79.0,69,1,8.05,clear sky,0.0,0.0
9,Ushuaia,AR,2020-02-23 21:19:30,-54.8,-68.3,46.4,87,75,21.92,light rain,0.0,0.0
10,Kamyshevatskaya,RU,2020-02-23 21:19:31,46.41,37.96,41.54,84,100,23.06,overcast clouds,0.0,0.0
11,Hilo,US,2020-02-23 21:17:03,19.73,-155.09,78.8,57,75,10.29,broken clouds,0.0,0.0
12,Trincomalee,LK,2020-02-23 21:19:31,8.57,81.23,72.25,97,98,2.95,light rain,0.13,0.0
13,Karratha,AU,2020-02-23 21:19:10,-20.74,116.85,81.48,74,11,16.73,few clouds,0.0,0.0
14,New Norfolk,AU,2020-02-23 21:19:33,-42.78,147.06,57.99,76,75,4.7,broken clouds,0.0,0.0
15,Cidreira,BR,2020-02-23 21:17:09,-30.18,-50.21,71.91,73,1,17.29,clear sky,0.0,0.0
16,Avarua,CK,2020-02-23 21:19:33,-21.21,-159.78,78.8,94,100,4.7,moderate rain,0.0,0.0
17,Cape Town,ZA,2020-02-23 21:17:25,-33.93,18.42,66.99,59,0,18.34,clear sky,0.0,0.0
18,Ajdabiya,LY,2020-02-23 21:19:33,30.76,20.23,58.62,68,86,22.91,light rain,0.25,0.0
19,Lompoc,US,2020-02-23 21:17:40,34.64,-120.46,64.99,63,1,16.11,clear sky,0.0,0.0
20,Hobart,AU,2020-02-23 21:19:34,-42.88,147.33,57.99,76,75,4.7,broken clouds,0.0,0.0
21,Vila Franca Do Campo,PT,2020-02-23 21:19:34,37.72,-25.43,59.0,82,20,3.36,few clouds,0.0,0.0
22,Aquin,HT,2020-02-23 21:19:34,18.28,-73.4,77.43,69,18,7.27,few clouds,0.0,0.0
23,Chuy,UY,2020-02-23 21:17:46,-33.7,-53.46,71.87,61,23,10.29,few clouds,0.0,0.0
24,Nikolskoye,RU,2020-02-23 21:19:35,59.7,30.79,37.4,86,90,6.71,light intensity shower rain,0.0,0.0
25,Cherskiy,RU,2020-02-23 21:17:04,68.75,161.3,-27.56,89,48,6.17,scattered clouds,0.0,0.0
