City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hermanus,ZA,65.71,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
2,Castro,BR,67.93,overcast clouds,-24.79,-50.01,CHACARA BAILLY
5,Buraydah,SA,68.0,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
7,Airai,TL,66.69,clear sky,-8.93,125.41,Juvinal Martin
17,Cape Town,ZA,66.99,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
38,Jobner,IN,66.2,haze,26.97,75.38,Srk Jobner Hostel
43,Busselton,AU,68.0,broken clouds,-33.65,115.33,Observatory Guest House
53,Sao Filipe,CV,68.41,few clouds,14.9,-24.5,Tortuga B&B
72,Coihaique,CL,66.2,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
82,Bredasdorp,ZA,66.2,clear sky,-34.53,20.04,Bredasdorp Country Manor
148,Lakes Entrance,AU,68.0,overcast clouds,-37.88,147.98,The Esplanade Resort & Spa
149,Tura,IN,66.15,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
151,Puri,IN,68.0,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
174,Luau,AO,67.32,overcast clouds,-10.71,22.22,Kimbo Hotel
177,Ponta Do Sol,PT,70.0,few clouds,32.67,-17.1,Hotel do Campo
185,Camacha,PT,68.0,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
223,Laguna,US,66.2,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
228,Narasannapeta,IN,68.23,clear sky,18.42,84.05,G.lingaraju home
230,Marrakesh,MA,68.0,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
235,Rahimatpur,IN,69.46,clear sky,17.6,74.2,Swami Prasad Ice-cream parlor
267,Paeroa,NZ,68.0,clear sky,-37.37,175.67,Racecourse Motel Paeroa
275,Ahipara,NZ,67.82,clear sky,-35.17,173.17,Ahipara Holiday Park
287,East London,ZA,66.15,broken clouds,-33.02,27.91,Tu Casa
315,Ballina,AU,68.0,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
353,Luwingu,ZM,66.79,overcast clouds,-10.26,29.93,"Mountain City Lodge. Luwingu, Zambia"
362,Habra,IN,69.8,haze,22.83,88.63,Hotel Rajnandini হোটেল রাজনন্দিনী
370,Artesia,US,68.0,scattered clouds,33.87,-118.08,La Quinta Inn & Suites by Wyndham Buena Park
394,Victoria,HK,68.0,few clouds,22.29,114.16,Mini Hotel Central
439,Sahuaripa,MX,66.25,overcast clouds,29.05,-109.23,Estatua de Sahuaripa
452,Praia,CV,69.8,few clouds,14.92,-23.51,LT Aparthotel
455,Bilma,NE,66.04,broken clouds,18.69,12.92,Expeditions Ténére voyages
465,Coquimbo,CL,66.2,scattered clouds,-29.95,-71.34,Hotel San Juan
487,Pyay,MM,66.72,clear sky,18.82,95.22,Shwe Pyi Thar
491,Tocopilla,CL,69.71,clear sky,-22.09,-70.2,Hotel Galvarino
492,Srikakulam,IN,68.23,clear sky,18.3,83.9,Sriram residency
514,Kabinda,CD,70.0,overcast clouds,-6.13,24.48,Village Mianda Mutole
526,Capao Bonito,BR,65.19,broken clouds,-24.01,-48.35,HOTEL PASSARIM
536,Charlestown,AU,70.0,shower rain,-32.95,151.67,Panorama Motor Inn Hotel
542,Telfs,AT,68.0,overcast clouds,47.3,11.07,Hotel Munde
551,Port Lincoln,AU,65.64,clear sky,-34.73,135.87,Port Lincoln Hotel
