City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Lazaro,BZ,2020-02-22 22:13:30,18.04,-88.66,82.4,78,75,10.29
1,Pasighat,IN,2020-02-22 22:13:30,28.07,95.33,65.68,62,100,1.25
2,Manvi,IN,2020-02-22 22:13:31,15.98,77.05,65.68,81,0,4.79
3,Gushi,CN,2020-02-22 22:13:31,34.64,109.58,39.94,55,0,1.14
4,Rio Gallegos,AR,2020-02-22 22:10:27,-51.62,-69.22,71.6,43,34,20.8
5,Busselton,AU,2020-02-22 22:13:31,-33.65,115.33,66.99,69,5,10.8
6,Mataura,NZ,2020-02-22 22:13:32,-46.19,168.86,61.0,75,70,18.99
7,Madoc,CA,2020-02-22 22:13:32,44.51,-77.47,37.4,59,40,17.22
8,Oussouye,SN,2020-02-22 22:13:32,12.48,-16.55,75.2,88,73,4.7
9,Kapaa,US,2020-02-22 22:13:32,22.08,-159.32,78.8,65,40,8.05
10,East London,ZA,2020-02-22 22:13:32,-33.02,27.91,72.21,81,100,22.64
11,Dubbo,AU,2020-02-22 22:13:33,-32.25,148.62,68.0,77,40,14.99
12,Lebu,CL,2020-02-22 22:13:33,-37.62,-73.65,66.42,62,15,5.06
13,Horodnytsya,UA,2020-02-22 22:13:33,50.81,27.32,39.6,64,100,14.9
14,Lake Wales,US,2020-02-22 22:09:57,27.9,-81.59,72.0,46,75,11.41
15,Lorengau,PG,2020-02-22 22:13:33,-2.02,147.27,82.4,75,52,7.67
16,Saskylakh,RU,2020-02-22 22:13:33,71.92,114.08,-13.74,93,39,5.1
17,Sibenik,HR,2020-02-22 22:13:34,43.73,15.91,50.0,53,23,13.87
18,Plettenberg Bay,ZA,2020-02-22 22:13:34,-34.05,23.37,65.5,87,100,13.29
19,Tasiilaq,GL,2020-02-22 22:13:34,65.61,-37.64,14.0,72,100,5.61
20,Varnavino,RU,2020-02-22 22:13:34,57.4,45.09,30.36,85,32,13.47
21,Albany,US,2020-02-22 22:13:34,42.6,-73.97,42.8,51,1,10.29
22,Port Elizabeth,ZA,2020-02-22 22:12:55,-33.92,25.57,64.4,68,100,13.87
23,Cidreira,BR,2020-02-22 22:13:35,-30.18,-50.21,70.93,67,15,17.34
24,Mar Del Plata,AR,2020-02-22 22:13:35,-38.0,-57.56,66.99,67,0,13.87
25,Bambous Virieux,MU,2020-02-22 22:13:35,-20.34,57.76,77.0,88,40,3.36
26,Ushuaia,AR,2020-02-22 22:13:35,-54.8,-68.3,69.8,52,75,9.17
27,Rikitea,PF,2020-02-22 22:10:32,-23.12,-134.97,78.94,70,1,7.52
28,Tessalit,ML,2020-02-22 22:13:36,20.2,1.01,75.79,9,99,10.51
29,Provideniya,RU,2020-02-22 22:11:48,64.38,-173.3,-14.6,87,18,2.73
30,Hobart,AU,2020-02-22 22:12:48,-42.88,147.33,57.99,71,20,5.82
31,Cherskiy,RU,2020-02-22 22:13:36,68.75,161.3,-20.52,97,96,4.97
32,Barrow,US,2020-02-22 22:13:36,71.29,-156.79,-11.2,76,90,6.93
33,Ekhabi,RU,2020-02-22 22:13:37,53.51,142.97,3.47,97,100,5.55
34,Orumiyeh,IR,2020-02-22 22:13:37,37.55,45.08,33.8,79,90,4.7
35,Tiksi,RU,2020-02-22 22:13:37,71.69,128.87,-11.67,90,90,7.4
36,Mananjary,MG,2020-02-22 22:13:37,-21.22,48.33,77.07,85,99,8.63
37,Vao,NC,2020-02-22 22:13:37,-22.67,167.48,79.23,73,0,10.69
38,Balakhninskiy,RU,2020-02-22 22:13:38,58.01,114.28,10.17,96,100,1.43
39,Comodoro Rivadavia,AR,2020-02-22 22:13:38,-45.87,-67.5,78.8,29,26,20.8
40,Grindavik,IS,2020-02-22 22:13:38,63.84,-22.43,30.2,80,75,4.7
41,Thompson,CA,2020-02-22 22:11:35,55.74,-97.86,26.6,49,20,2.24
42,Mercedes,AR,2020-02-22 22:13:38,-34.65,-59.43,73.0,55,0,1.99
43,Narsaq,GL,2020-02-22 22:13:39,60.92,-46.05,21.2,53,100,17.22
44,Puerto Ayora,EC,2020-02-22 22:13:39,-0.74,-90.35,82.4,78,40,9.17
45,Coracora,PE,2020-02-22 22:13:39,-15.03,-73.78,50.86,93,100,10.29
46,Hilo,US,2020-02-22 22:13:39,19.73,-155.09,80.6,54,20,6.93
47,Selty,RU,2020-02-22 22:13:39,57.31,52.13,29.59,93,100,8.55
48,Beisfjord,NO,2020-02-22 22:13:40,68.38,17.6,35.6,93,90,24.16
49,Whyalla,AU,2020-02-22 22:13:40,-33.03,137.58,57.2,87,0,6.93
50,Punta Arenas,CL,2020-02-22 22:12:50,-53.15,-70.92,69.8,46,100,25.28
51,Dudinka,RU,2020-02-22 22:13:40,69.41,86.18,8.6,84,100,24.61
52,Castro,BR,2020-02-22 22:13:41,-24.79,-50.01,70.52,75,34,5.53
53,Faanui,PF,2020-02-22 22:13:41,-16.48,-151.75,82.04,74,49,9.24
54,Daru,PG,2020-02-22 22:11:59,-9.08,143.21,77.0,87,91,8.01
55,Pangai,TO,2020-02-22 22:11:08,-19.8,-174.35,82.4,88,90,9.17
56,Kodiak,US,2020-02-22 22:13:41,57.79,-152.41,21.2,53,1,10.29
57,Trairi,BR,2020-02-22 22:13:41,-3.28,-39.27,73.02,96,100,1.9
58,Saint-Pierre,RE,2020-02-22 22:13:42,-21.34,55.48,75.2,69,100,6.93
59,Hithadhoo,MV,2020-02-22 22:13:42,-0.6,73.08,82.15,81,89,14.03
60,Mayor Pablo Lagerenza,PY,2020-02-22 22:13:42,-19.93,-60.77,83.28,31,83,9.6
61,Kopervik,NO,2020-02-22 22:13:42,59.28,5.31,44.6,75,75,48.32
62,Bethel,US,2020-02-22 22:10:30,41.37,-73.41,48.99,20,1,8.05
63,Lwowek Slaski,PL,2020-02-22 22:13:43,51.11,15.59,50.0,69,84,7.0
64,Port Blair,IN,2020-02-22 22:13:43,11.67,92.75,80.6,78,40,4.7
65,Tura,IN,2020-02-22 22:13:43,25.52,90.22,67.06,47,29,4.07
66,Dubrovytsya,UA,2020-02-22 22:13:43,51.57,26.57,40.53,66,100,19.6
67,Atuona,PF,2020-02-22 22:13:43,-9.8,-139.03,81.86,76,0,13.73
68,Yar,RU,2020-02-22 22:13:44,58.25,52.1,30.04,93,100,13.2
69,Avarua,CK,2020-02-22 22:13:44,-21.21,-159.78,84.2,83,69,5.82
70,Carnarvon,AU,2020-02-22 22:13:44,-24.87,113.63,75.2,83,40,5.82
71,Georgetown,MY,2020-02-22 22:10:01,5.41,100.34,80.6,69,20,8.05
72,Katsuura,JP,2020-02-22 22:09:05,35.13,140.3,52.0,36,20,3.36
73,Marawi,PH,2020-02-22 22:13:45,8.0,124.29,71.01,88,26,5.99
74,Livingston,GB,2020-02-22 22:13:45,55.9,-3.52,39.99,69,82,19.46
75,Port-Gentil,GA,2020-02-22 22:13:45,-0.72,8.78,82.4,88,20,5.82
76,Gazojak,TM,2020-02-22 22:13:45,41.19,61.4,43.47,74,100,11.61
77,Juneau,US,2020-02-22 22:13:45,58.3,-134.42,37.99,86,75,8.05
78,Srednekolymsk,RU,2020-02-22 22:12:07,67.45,153.68,-27.51,100,95,1.21
79,Ponta Delgada,PT,2020-02-22 22:13:46,37.73,-25.67,55.4,76,20,5.82
80,Hauterive,FR,2020-02-22 22:13:46,46.09,3.45,42.8,60,69,3.36
81,Dikson,RU,2020-02-22 22:13:46,73.51,80.55,16.52,93,100,25.37
82,Araouane,ML,2020-02-22 22:13:46,18.9,-3.53,80.92,9,85,10.56
83,Yellowknife,CA,2020-02-22 22:12:42,62.46,-114.35,5.0,60,20,6.93
84,Lata,PT,2020-02-22 22:13:47,40.16,-8.33,59.0,93,0,3.36
85,Colomi,BO,2020-02-22 22:13:47,-17.35,-65.87,68.0,56,40,3.06
86,Fare,PF,2020-02-22 22:13:47,-16.7,-151.02,82.36,73,22,9.53
87,Iskateley,RU,2020-02-22 22:13:47,67.68,53.15,31.21,87,100,23.31
88,Pangody,RU,2020-02-22 22:13:48,65.85,74.49,13.75,92,100,20.29
89,Bredasdorp,ZA,2020-02-22 22:13:48,-34.53,20.04,62.6,67,93,6.93
90,Moron,AR,2020-02-22 22:13:48,-34.65,-58.62,75.0,43,0,5.82
91,Cape Town,ZA,2020-02-22 22:10:41,-33.93,18.42,66.99,77,20,24.16
92,Valparaiso,CL,2020-02-22 22:11:03,-33.04,-71.63,69.8,56,0,11.41
93,Thinadhoo,MV,2020-02-22 22:13:48,0.53,72.93,82.49,80,100,14.65
94,New Norfolk,AU,2020-02-22 22:13:49,-42.78,147.06,57.99,71,20,5.82
95,Qaanaaq,GL,2020-02-22 22:13:49,77.48,-69.36,-14.08,64,99,4.52
96,Marondera,ZW,2020-02-22 22:13:49,-18.19,31.55,65.25,95,86,1.95
97,Victoria,HK,2020-02-22 22:11:42,22.29,114.16,64.99,77,20,18.34
98,Iqaluit,CA,2020-02-22 22:13:49,63.75,-68.51,-29.0,60,20,11.41
99,Chapais,CA,2020-02-22 22:13:50,49.78,-74.85,33.8,55,90,9.17
100,Salalah,OM,2020-02-22 22:13:50,17.02,54.09,75.2,73,75,2.24
101,Hobyo,SO,2020-02-22 22:13:50,5.35,48.53,76.69,77,75,14.9
102,Havoysund,NO,2020-02-22 22:13:50,71.0,24.66,33.8,64,84,14.99
103,Ambulu,ID,2020-02-22 22:13:51,-8.35,113.61,79.48,81,96,5.44
104,Roura,GF,2020-02-22 22:13:51,4.73,-52.33,82.4,78,75,8.05
105,Denpasar,ID,2020-02-22 22:13:51,-8.65,115.22,74.43,88,47,4.25
106,Dhidhdhoo,MV,2020-02-22 22:13:51,6.88,73.1,83.7,76,100,14.07
107,Jumla,NP,2020-02-22 22:13:52,29.27,82.18,30.7,70,99,3.78
108,Sitka,US,2020-02-22 22:13:39,57.05,-135.33,37.4,80,75,10.29
109,Buta,CD,2020-02-22 22:13:52,2.79,24.73,82.18,35,95,3.0
110,Sao Joao Da Barra,BR,2020-02-22 22:12:32,-21.64,-41.05,75.2,94,90,9.17
111,Port Hardy,CA,2020-02-22 22:11:36,50.7,-127.42,42.8,87,40,11.41
112,Rio Grande,BR,2020-02-22 22:13:40,-32.03,-52.1,69.8,64,75,6.93
113,Dingle,PH,2020-02-22 22:13:53,11.0,122.67,70.03,90,0,11.03
114,Cayenne,GF,2020-02-22 22:13:53,4.93,-52.33,82.4,78,75,8.05
115,Saint George,US,2020-02-22 22:12:14,37.1,-113.58,48.99,87,90,14.99
116,Zhigalovo,RU,2020-02-22 22:12:06,54.81,105.16,10.0,96,89,3.18
117,Verkhnyaya Sinyachikha,RU,2020-02-22 22:13:54,57.98,61.67,21.09,92,68,6.02
118,Port Alfred,ZA,2020-02-22 22:13:54,-33.59,26.89,62.01,94,100,5.01
119,Upernavik,GL,2020-02-22 22:13:54,72.79,-56.15,-15.9,94,78,4.88
120,Vaini,TO,2020-02-22 22:13:54,-21.2,-175.2,80.6,88,75,9.17
121,Chingirlau,KZ,2020-02-22 22:13:54,51.09,54.08,17.15,91,100,5.7
122,Ust-Ilimsk,RU,2020-02-22 22:13:54,58.0,102.66,11.16,96,100,3.96
123,Kaitangata,NZ,2020-02-22 22:13:55,-46.28,169.85,55.85,77,66,14.56
124,Cascais,PT,2020-02-22 22:09:22,38.7,-9.42,64.99,59,38,6.93
125,Chekhov,RU,2020-02-22 22:13:55,55.14,37.47,37.99,74,100,17.9
126,Isla Vista,US,2020-02-22 22:13:55,34.41,-119.86,64.0,63,75,14.99
127,Yar-Sale,RU,2020-02-22 22:13:55,66.83,70.83,20.55,90,93,18.79
128,Russell,US,2020-02-22 22:13:56,32.35,-85.2,57.2,22,1,3.02
129,Basti,IN,2020-02-22 22:13:56,26.8,82.72,62.04,83,0,5.06
130,Clyde River,CA,2020-02-22 22:13:56,70.47,-68.59,-25.6,74,1,8.05
131,Itaporanga,BR,2020-02-22 22:13:56,-7.3,-38.15,79.75,70,100,1.48
132,Khatanga,RU,2020-02-22 22:13:57,71.97,102.5,6.87,83,100,14.27
133,Champerico,GT,2020-02-22 22:13:57,14.3,-91.92,91.4,52,75,11.41
134,Thunder Bay,CA,2020-02-22 22:13:57,48.4,-89.32,44.6,48,5,8.05
135,Port Augusta,AU,2020-02-22 22:13:57,-32.5,137.77,73.0,87,0,6.93
136,Bluff,NZ,2020-02-22 22:11:49,-46.6,168.33,61.0,75,68,18.99
137,La Ronge,CA,2020-02-22 22:13:58,55.1,-105.28,39.2,51,90,8.05
138,Taoudenni,ML,2020-02-22 22:13:58,22.68,-3.98,78.84,10,2,10.58
